iter	Passed	Remaining
0	53	53103
1	55	27470
2	57	19009
3	59	14758
4	61	12315
5	64	10604
6	66	9467
7	69	8571
8	71	7874
9	74	7344
10	76	6853
11	79	6508
12	80	6141
13	82	5831
14	84	5569
15	86	5323
16	88	5108
17	90	4912
18	92	4770
19	93	4601
20	95	4463
21	97	4334
22	99	4234
23	101	4139
24	104	4083
25	106	4007
26	108	3915
27	110	3841
28	112	3760
29	114	3686
30	115	3625
31	117	3565
32	119	3510
33	121	3452
34	123	3402
35	125	3357
36	127	3319
37	129	3278
38	131	3235
39	133	3197
40	134	3143
41	135	3097
42	136	3048
43	138	3010
44	139	2969
45	140	2923
46	142	2880
47	143	2842
48	144	2801
49	145	2764
50	146	2724
51	147	2686
52	148	2645
53	148	2608
54	149	2571
55	150	2540
56	151	2508
57	152	2473
58	152	2438
59	153	2406
60	154	2374
61	154	2343
62	155	2314
63	156	2285
64	157	2260
65	157	2232
66	158	2205
67	158	2174
68	159	2148
69	159	2123
70	160	2100
71	161	2076
72	161	2052
73	162	2030
74	162	2010
75	163	1988
76	164	1967
77	164	1948
78	165	1928
79	165	1907
80	166	1888
81	166	1869
82	168	1857
83	168	1839
84	169	1819
85	169	1802
86	169	1783
87	170	1767
88	171	1751
89	171	1736
90	172	1722
91	173	1709
92	173	1695
93	174	1680
94	174	1666
95	175	1653
96	176	1640
97	176	1627
98	177	1614
99	177	1601
100	178	1589
101	178	1575
102	180	1574
103	181	1562
104	181	1550
105	182	1540
106	183	1529
107	183	1517
108	184	1507
109	185	1497
110	185	1487
111	186	1477
112	186	1467
113	187	1457
114	188	1448
115	188	1439
116	189	1430
117	190	1422
118	190	1413
119	191	1406
120	192	1401
121	193	1392
122	193	1381
123	194	1373
124	195	1366
125	195	1357
126	196	1348
127	196	1338
128	197	1331
129	197	1323
130	198	1315
131	199	1308
132	199	1301
133	200	1293
134	200	1287
135	201	1280
136	202	1275
137	203	1273
138	204	1268
139	205	1260
140	206	1255
141	206	1248
142	207	1241
143	207	1234
144	208	1227
145	208	1221
146	209	1215
147	210	1209
148	210	1203
149	211	1197
150	211	1191
151	212	1185
152	213	1179
153	213	1173
154	214	1167
155	215	1165
156	215	1159
157	216	1155
158	217	1150
159	218	1145
160	218	1140
161	219	1134
162	219	1128
163	220	1123
164	220	1117
165	221	1111
166	221	1106
167	222	1101
168	222	1096
169	223	1090
170	224	1086
171	224	1081
172	225	1077
173	225	1072
174	226	1067
175	226	1062
176	227	1057
177	227	1052
178	228	1047
179	228	1043
180	229	1037
181	229	1032
182	230	1028
183	230	1023
184	231	1019
185	231	1014
186	232	1010
187	232	1005
188	233	1001
189	233	996
190	234	992
191	234	987
192	235	983
193	235	979
194	236	975
195	236	971
196	237	967
197	237	963
198	238	959
199	238	955
200	239	952
201	239	948
202	240	943
203	240	939
204	241	936
205	241	932
206	242	928
207	242	924
208	243	921
209	243	917
210	244	913
211	244	910
212	245	906
213	245	903
214	246	899
215	246	895
216	247	892
217	247	888
218	248	884
219	248	881
220	249	878
221	249	875
222	250	872
223	250	869
224	251	866
225	252	863
226	252	860
227	253	857
228	254	855
229	254	852
230	255	849
231	255	846
232	256	843
233	256	840
234	257	837
235	257	834
236	258	832
237	259	829
238	259	826
239	260	823
240	260	820
241	261	818
242	261	815
243	262	812
244	263	810
245	263	807
246	264	805
247	264	802
248	265	799
249	265	797
250	266	794
251	266	791
252	267	789
253	267	786
254	268	784
255	269	781
256	269	779
257	270	777
258	270	774
259	271	772
260	271	769
261	272	768
262	273	766
263	274	764
264	274	761
265	275	759
266	275	757
267	276	754
268	277	753
269	278	751
270	279	751
271	279	749
272	280	747
273	281	745
274	282	744
275	284	746
276	286	746
277	287	745
278	288	746
279	289	744
280	291	745
281	292	744
282	293	744
283	295	744
284	296	744
285	299	748
286	301	748
287	302	746
288	303	745
289	304	745
290	306	745
291	307	745
292	308	745
293	309	744
294	311	744
295	313	745
296	319	756
297	320	755
298	321	753
299	322	752
300	334	777
301	335	775
302	341	785
303	343	786
304	344	784
305	344	782
306	345	780
307	346	778
308	347	776
309	347	774
310	349	773
311	350	773
312	351	771
313	352	769
314	353	768
315	354	766
316	355	765
317	355	762
318	356	760
319	356	758
320	357	756
321	358	753
322	358	752
323	360	752
324	361	750
325	362	749
326	363	748
327	364	746
328	365	745
329	366	744
330	367	742
331	368	741
332	369	739
333	370	738
334	371	736
335	372	735
336	373	734
337	374	732
338	375	731
339	376	730
340	377	728
341	378	727
342	379	726
343	380	725
344	381	723
345	382	722
346	383	721
347	384	719
348	385	718
349	385	716
350	386	715
351	387	713
352	388	712
353	389	710
354	390	708
355	390	706
356	391	704
357	391	702
358	392	700
359	392	698
360	393	697
361	395	696
362	395	694
363	397	693
364	397	692
365	398	690
366	399	688
367	399	686
368	400	684
369	401	683
370	401	681
371	402	679
372	403	678
373	404	676
374	404	674
375	405	672
376	405	670
377	406	668
378	407	667
379	407	665
380	408	663
381	408	661
382	409	659
383	410	658
384	411	657
385	412	656
386	413	654
387	414	653
388	415	652
389	416	651
390	417	650
391	418	649
392	419	647
393	420	646
394	421	645
395	421	643
396	422	641
397	423	640
398	423	638
399	424	636
400	424	634
401	425	632
402	426	631
403	426	629
404	427	627
405	427	626
