iter	Passed	Remaining
0	48	48275
1	48	24345
2	49	16339
3	49	12427
4	50	10077
5	51	8504
6	51	7373
7	52	6507
8	53	5839
9	53	5297
10	54	4862
11	54	4500
12	55	4193
13	55	3927
14	56	3722
15	57	3522
16	57	3343
17	58	3213
18	59	3064
19	59	2922
20	60	2810
21	61	2729
22	62	2638
23	63	2580
24	64	2498
25	64	2427
26	65	2356
27	65	2278
28	66	2241
29	68	2206
30	68	2147
31	68	2085
32	69	2046
33	70	2005
34	71	1964
35	72	1934
36	72	1895
37	73	1861
38	74	1832
39	75	1801
40	75	1767
41	76	1736
42	76	1699
43	76	1664
44	77	1637
45	77	1608
46	78	1585
47	78	1562
48	79	1534
49	79	1513
50	80	1489
51	80	1472
52	81	1455
53	82	1438
54	82	1422
55	83	1406
56	83	1387
57	84	1365
58	84	1351
59	85	1336
60	85	1321
61	86	1302
62	86	1286
63	87	1273
64	87	1261
65	88	1249
66	88	1237
67	89	1225
68	89	1213
69	90	1197
70	90	1187
71	91	1177
72	92	1168
73	92	1155
74	92	1142
75	93	1135
76	93	1126
77	94	1116
78	94	1103
79	95	1093
80	95	1083
81	95	1073
82	96	1061
83	96	1050
84	96	1041
85	97	1032
86	97	1023
87	97	1014
88	98	1006
89	98	998
90	99	989
91	99	981
92	99	973
93	100	965
94	100	956
95	100	948
96	101	940
97	101	932
98	101	925
99	101	917
100	102	910
101	102	903
102	102	896
103	103	888
104	103	881
105	103	874
106	103	867
107	104	860
108	104	853
109	104	846
110	104	839
111	105	833
112	105	826
113	105	819
114	105	813
115	105	807
116	106	801
117	106	795
118	106	789
119	106	783
120	107	778
121	107	772
122	107	766
123	107	761
124	108	756
125	108	750
126	108	745
127	108	740
128	108	735
129	109	730
130	109	725
131	109	720
132	109	715
133	110	711
134	110	706
135	110	701
136	110	696
137	110	692
138	111	687
139	111	683
140	111	679
141	111	674
142	111	670
143	112	665
144	112	661
145	112	657
146	112	654
147	112	650
148	113	647
149	113	643
150	113	640
151	114	636
152	114	632
153	114	629
154	115	627
155	115	624
156	115	620
157	115	617
158	116	614
159	116	611
160	116	608
161	117	605
162	117	602
163	117	599
164	117	596
165	118	592
166	118	590
167	118	586
168	118	584
169	119	581
170	119	578
171	119	575
172	119	572
173	120	570
174	120	567
175	120	564
176	120	561
177	121	559
178	121	556
179	121	553
180	121	551
181	122	548
182	122	546
183	122	543
184	122	541
185	123	538
186	123	536
187	123	533
188	123	531
189	124	529
190	124	526
191	124	524
192	124	522
193	125	520
194	125	518
195	125	516
196	126	514
197	126	512
198	126	510
199	127	508
200	127	505
201	127	503
202	127	501
203	128	499
204	128	497
205	128	495
